[Thu Jun 23 16:06:04.487519 2016] [:error] [pid 38126] [client 10.10.14.113:60468] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:07:20.938868 2016] [:error] [pid 37210] [client 10.10.14.113:60475] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:07:20.938893 2016] [:error] [pid 37210] [client 10.10.14.113:60475] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:07:20.938900 2016] [:error] [pid 37210] [client 10.10.14.113:60475] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:08.186019 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:08.186191 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:08.186262 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:08.822556 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:08.822731 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:08.822833 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:09.114765 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:09.114898 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:09.114968 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:09.350393 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:09.350529 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
